bloco	tipo	trat	prod
1	teste	451	82.8
1	teste	452	82.8
1	teste	453	53.8
1	teste	454	51.6
1	TR	1	90.6
1	TR	2	77.4
1	TR	3	104.6
1	TR	4	85.4
1	TR	5	81.6
1	TR	6	42.4
1	TR	7	73.2
1	TR	8	76
1	TR	9	98.6
1	TR	10	104.8
1	TR	11	109.6
1	TR	12	113.2
1	TR	13	70.8
1	TR	14	46.6
1	TR	15	87.4
1	TR	16	82.4
1	TR	17	77
1	TR	18	85.6
1	TR	19	82.8
1	TR	20	91.6
1	TR	21	82.6
1	TR	22	73.6
1	TR	23	73.6
1	TR	24	77.6
1	TR	25	89
1	TR	26	70.6
1	TR	27	68.2
1	TR	28	70.4
1	TR	29	80.2
1	TR	30	76
1	TR	31	59.4
1	TR	32	69
1	TR	33	69.2
1	TR	34	57.2
1	TR	35	60
1	TR	36	53.2
1	TR	37	62
1	TR	38	58.2
1	TR	39	73.4
1	TR	40	89.2
1	TR	41	84.4
1	TR	42	81.6
1	TR	43	78.8
1	TR	44	53
1	TR	45	57.4
2	teste	451	78.8
2	teste	452	77
2	teste	453	30
2	teste	454	64.6
2	TR	46	58.6
2	TR	47	67
2	TR	48	65
2	TR	49	65.4
2	TR	50	78.8
2	TR	51	42.6
2	TR	52	58.8
2	TR	53	76
2	TR	54	64.5
2	TR	55	72.4
2	TR	56	61
2	TR	57	67.4
2	TR	58	65.2
2	TR	59	62.2
2	TR	60	68
2	TR	61	89
2	TR	62	89.6
2	TR	63	50.6
2	TR	64	54.8
2	TR	65	80
2	TR	66	64.4
2	TR	67	99
2	TR	68	75.8
2	TR	69	68.2
2	TR	70	58.2
2	TR	71	57
2	TR	72	78.2
2	TR	73	109.6
2	TR	74	90.6
2	TR	75	80.6
2	TR	76	83
2	TR	77	76.8
2	TR	78	76
2	TR	79	73.6
2	TR	80	74.4
2	TR	81	70.8
2	TR	82	80.4
2	TR	83	80.2
2	TR	84	67.6
2	TR	85	95.2
2	TR	86	71.6
2	TR	87	74.8
2	TR	88	64.6
2	TR	89	77
2	TR	90	62.8
